STATION,STATION_NAME,DATE,HPCP
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950603 10:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950603 11:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 00:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 01:00,0.36
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 02:00,0.09
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 03:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 04:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950604 06:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950605 09:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950605 10:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950605 18:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 00:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 01:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 07:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 08:00,0.25
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 09:00,0.84
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 10:00,0.14
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 20:00,0.62
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 21:00,0.25
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 22:00,0.20
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950608 23:00,0.20
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 00:00,0.18
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 01:00,0.06
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 02:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 12:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 13:00,0.20
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 14:00,0.52
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 15:00,0.46
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 16:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 17:00,0.03
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950609 18:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950623 12:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950623 13:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 15:00,0.15
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 16:00,0.53
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 17:00,0.27
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 18:00,1.13
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 19:00,0.25
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950624 20:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950625 00:00,0.05
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950625 01:00,0.07
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950625 02:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 02:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 04:00,0.16
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 05:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 06:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 07:00,0.04
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 08:00,0.06
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 09:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 16:00,0.02
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 17:00,0.59
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 18:00,0.10
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 20:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950629 21:00,0.01
COOP:148830,WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT KS US,19950701 01:00,0.00
